Submitter Name,Submitter Oracle ID,Partner Reported File Name,FYQTR,Week No Of Fiscal Qtr,Global POS Partner Level,Submitter Theater - Site,POS Transaction Type,Sales Qty,Standard Buy Price Ext - CST,UPH Level I,UPH Level II,UPH Level III
A T & T WIRELESS SERVICES [7096],7096,55963220-att Daily Sales Report Plantronics 4.12.21.xlsx,FY22Q1,1,LEVEL 1,AMER,POS,419,21732,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55963220-att Daily Sales Report Plantronics 4.12.21.xlsx,FY22Q1,1,LEVEL 1,AMER,POS,33,3114,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55963220-att Daily Sales Report Plantronics 4.12.21.xlsx,FY22Q1,2,LEVEL 1,AMER,POS,42,2208,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55963220-att Daily Sales Report Plantronics 4.12.21.xlsx,FY22Q1,2,LEVEL 1,AMER,POS,5,474,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55986524-att Daily Sales Report Plantronics 4.19.xlsx,FY22Q1,2,LEVEL 1,AMER,POS,407,21876,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55986524-att Daily Sales Report Plantronics 4.19.xlsx,FY22Q1,2,LEVEL 1,AMER,POS,27,2586,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55986524-att Daily Sales Report Plantronics 4.19.xlsx,FY22Q1,3,LEVEL 1,AMER,POS,45,2328,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55986524-att Daily Sales Report Plantronics 4.19.xlsx,FY22Q1,3,LEVEL 1,AMER,POS,2,180,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,56006820-Att Daily Sales Report Plantronics 4.26.21.xlsx,FY22Q1,3,LEVEL 1,AMER,POS,551,32736,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,56006820-Att Daily Sales Report Plantronics 4.26.21.xlsx,FY22Q1,3,LEVEL 1,AMER,POS,27,2586,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,56006820-Att Daily Sales Report Plantronics 4.26.21.xlsx,FY22Q1,4,LEVEL 1,AMER,POS,42,2376,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,56006820-Att Daily Sales Report Plantronics 4.26.21.xlsx,FY22Q1,4,LEVEL 1,AMER,POS,4,372,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,56011670-att Daily Sales Report Plantronics 5.3.21.xlsx,FY22Q1,4,LEVEL 1,AMER,POS,716,43104,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,56011670-att Daily Sales Report Plantronics 5.3.21.xlsx,FY22Q1,4,LEVEL 1,AMER,POS,25,2418,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,56011670-att Daily Sales Report Plantronics 5.3.21.xlsx,FY22Q1,5,LEVEL 1,AMER,POS,39,2376,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,56011670-att Daily Sales Report Plantronics 5.3.21.xlsx,FY22Q1,5,LEVEL 1,AMER,POS,1,90,CONSUMER,STEREO,MOBILE BT STEREO
