Submitter Name,Submitter Oracle ID,Partner Reported File Name,FYQTR,Week No Of Fiscal Qtr,Global POS Partner Level,Submitter Theater - Site,POS Transaction Type,Sales Qty,Standard Buy Price Ext - CST,UPH Level I,UPH Level II,UPH Level III
A T & T WIRELESS SERVICES [7096],7096,55692386-ATT Daily Sales Report Plantronics 12.28.20.xlsx,FY21Q4,1,LEVEL 1,AMER,POS,26,1212,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55692386-ATT Daily Sales Report Plantronics 12.28.20.xlsx,FY21Q4,1,LEVEL 1,AMER,POS,5,474,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55698607-Att Daily Sales Report Plantronics (002).xlsx,FY21Q4,1,LEVEL 1,AMER,POS,375,16560,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55698607-Att Daily Sales Report Plantronics (002).xlsx,FY21Q4,1,LEVEL 1,AMER,POS,60,5844,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55698607-Att Daily Sales Report Plantronics (002).xlsx,FY21Q4,2,LEVEL 1,AMER,POS,35,1620,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55698607-Att Daily Sales Report Plantronics (002).xlsx,FY21Q4,2,LEVEL 1,AMER,POS,9,894,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55704080-Daily Sales Report Plantronics.xlsx,FY21Q4,2,LEVEL 1,AMER,POS,432,19308,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55704080-Daily Sales Report Plantronics.xlsx,FY21Q4,2,LEVEL 1,AMER,POS,94,9300,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55704080-Daily Sales Report Plantronics.xlsx,FY21Q4,3,LEVEL 1,AMER,POS,38,2064,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55704080-Daily Sales Report Plantronics.xlsx,FY21Q4,3,LEVEL 1,AMER,POS,2,192,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55705404-att Daily Sales Report Plantronics (002).xlsx,FY21Q4,3,LEVEL 1,AMER,POS,390,17988,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55705404-att Daily Sales Report Plantronics (002).xlsx,FY21Q4,3,LEVEL 1,AMER,POS,1,20,CONSUMER,OTHER CONSUMER,MOBILE OTHER
A T & T WIRELESS SERVICES [7096],7096,55705404-att Daily Sales Report Plantronics (002).xlsx,FY21Q4,3,LEVEL 1,AMER,POS,64,6372,CONSUMER,STEREO,MOBILE BT STEREO
A T & T WIRELESS SERVICES [7096],7096,55705404-att Daily Sales Report Plantronics (002).xlsx,FY21Q4,4,LEVEL 1,AMER,POS,28,1356,CONSUMER,MONO,MOBILE BT MONO
A T & T WIRELESS SERVICES [7096],7096,55705404-att Daily Sales Report Plantronics (002).xlsx,FY21Q4,4,LEVEL 1,AMER,POS,9,882,CONSUMER,STEREO,MOBILE BT STEREO
ABRIS DISTRIBUTION INC [555603],555603,55716412-Abris_SALE_20201228_20210110.xlsx,FY21Q4,1,LEVEL 1,EMEA,POS,20,598,ENTERPRISE,UC OCC,UC OCC CORDED
ABRIS DISTRIBUTION INC [555603],555603,55716412-Abris_SALE_20201228_20210110.xlsx,FY21Q4,1,LEVEL 1,EMEA,POS,6,908.04,ENTERPRISE,UC OCC,UC OCC CORDLESS
